PC write watch started - logging ALL writes
Watching for writes to $0058-$0059 (emulated PC)

Watching for PC writes (capped at 500)...
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 17: PC_LO = $08, Full PC = $0008
Frame 17: PC_LO = $00, Full PC = $0000
Frame 17: PC_LO = $02, Full PC = $0002
Frame 17: PC_LO = $03, Full PC = $0003
Frame 17: PC_LO = $04, Full PC = $0004
Frame 17: PC_LO = $06, Full PC = $0006
Frame 17: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 18: PC_LO = $07, Full PC = $0007
Frame 18: PC_LO = $08, Full PC = $0008
Frame 18: PC_LO = $00, Full PC = $0000
Frame 18: PC_LO = $02, Full PC = $0002
Frame 18: PC_LO = $03, Full PC = $0003
Frame 18: PC_LO = $04, Full PC = $0004
Frame 18: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 19: PC_LO = $06, Full PC = $0006
Frame 19: PC_LO = $07, Full PC = $0007
Frame 19: PC_LO = $08, Full PC = $0008
Frame 19: PC_LO = $00, Full PC = $0000
Frame 19: PC_LO = $02, Full PC = $0002
Frame 19: PC_LO = $03, Full PC = $0003
Frame 19: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 20: PC_LO = $06, Full PC = $0006
Frame 20: PC_LO = $07, Full PC = $0007
Frame 20: PC_LO = $08, Full PC = $0008
Frame 20: PC_LO = $00, Full PC = $0000
Frame 20: PC_LO = $02, Full PC = $0002
Frame 20: PC_LO = $03, Full PC = $0003
Frame 20: PC_LO = $04, Full PC = $0004
Frame 21: PC_LO = $06, Full PC = $0006
Frame 21: PC_LO = $07, Full PC = $0007
Frame 21: PC_LO = $08, Full PC = $0008
=== Done, logCount=500 ===
